"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"1352","Hyokkori Hyotanjima Don Gabacho Daikatsuyaku no Maki","GameBoy Advance","M²TO","Japan","Japanese","","","Rising Sun","","rs-hhdg.zip","2004-01-11","HYOUTANJIMA","AGB-BHYJ-JPN","1.0","4Dh","481D1D5Fh","32 Mbit","EEPROM_V124 (4Kbit)","",""
"1353","Shining Soul","GameBoy Advance","Atlus","USA","English","","","Independent","","us-ss-rmr.zip","2004-01-15","SHINING SOUL","AGB-AHUE-USA","1.0","34h","E95BBA0Ch","64 Mbit","FLASH512_V131 (512Kbit)","",""
"1354","Freekstyle","GameBoy Advance","Destination Software","Europe","Multi 5","","","Rising Sun","","rs-freek.zip","2004-01-16","FREEKSTYLE","AGB-BFSP-EUR","1.0","C6h","96871A23h","64 Mbit","No Save","",""
"1355","Road Rash Jailbreak","GameBoy Advance","Destination Software","Europe","Multi 5","","","Rising Sun","","rs-rrjb.zip","2004-01-16","ROADRASHJAIL","AGB-A9RP-EUR","1.0","5Fh","F4693458h","32 Mbit","No Save","",""
"1356","Baldurs Gate - Dark Alliance","GameBoy Advance","Destination Software","USA","English","","","Hyperion","","h-bgda.zip","2004-01-21","BALDURSGATE","AGB-BGDE-USA","1.0","AFh","DEEDD7D9h","64 Mbit","EEPROM_V124 (4Kbit)","",""
"1357","Gyakuten Saiban 3","GameBoy Advance","Capcom","Japan","Japanese","","","Suxxors","","sxs-gs3.zip","2004-01-22","GYAKUTEN_SA3","AGB-A3JJ-JPN","1.0","53h","51B6CF22h","64 Mbit","SRAM_V112 (256Kbit)","",""
"1358","Tiny Toon Adventures - Wacky Stackers","GameBoy Advance","Conspiracy","USA","English","","","Independent","","us-ltws-rmr.zip","2004-01-25","TTA-WACKY","AGB-AWSE-USA","1.0","FDh","E03C633Eh","32 Mbit","No Save","",""
"1359","The Sims","GameBoy Advance","Electronic Arts Japan","Japan","Japanese","","","Rising Sun","","rs-tsjp.zip","2004-01-26","THE SIMS ADV","AGB-B4PJ-JPN","1.0","A5h","89956199h","128 Mbit","EEPROM_V124 (64Kbit)","",""
"1360","Pokemon Fire Red","GameBoy Advance","Nintendo","Japan","Japanese","","","Independent","","ind-pkfr.gba","2004-01-27","POKEMON FIRE","AGB-BPRJ-JPN","1.0","63h","3B2056E9h","128 Mbit","FLASH1M_V103 (1024Kbit)","",""
"1361","Super Bubble Pop","GameBoy Advance","Jaleco","Europe","Multi 8","","","Independent","","ind-subp.gba","2004-01-28","S BUBBLE POP","AGB-AVZP-EUR","1.0","71h","25123D97h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"1362","Pokemon Leaf Green","GameBoy Advance","Nintendo","Japan","Japanese","","","Cezar","","c-poklfg.zip","2004-01-28","POKEMON LEAF","AGB-BPGJ-JPN","1.0","7Ch","0A48556Bh","128 Mbit","FLASH1M_V103 (1024Kbit)","",""
"1363","Scooby-Doo - Mystery Mayhem","GameBoy Advance","THQ","Europe","Multi 3","","","Independent","","fx-sdmm.zip","2004-01-28","SCOOBYMAYHEM","AGB-BMMP-EUR","1.0","26h","5348A655h","32 Mbit","EEPROM_V122 (4Kbit)","",""
